utc_time;AUT;BEL;BGR;BIH;CHE;CYP;CZE;DEU;DNK;ESP;EST;FIN;FRA;GBR;GRC;HRV;HUN;IRL;ITA;LTU;LUX;LVA;MLT;NLD;NOR;POL;PRT;ROU;SRB;SVK;SVN;SWE
2015-04-10T19:00:00Z;9381.410454;8819.174297;4680.004537;2011.864297;8327.995136;698.319230;9069.444407;79552.030455;7549.742311;24530.935850;1520.144846;8121.992729;45064.119273;37620.535640;9657.211582;3504.848871;9419.880380;3864.735135;38021.642325;2016.556434;694.511790;2034.733909;79.626272;13278.146072;8193.402550;26802.814070;2674.100017;10779.019442;3549.581170;4402.878151;1637.811275;10855.908431
2015-04-10T20:00:00Z;9664.318201;8052.206256;4708.884933;2071.183154;8775.138190;661.510417;9897.574432;83138.678934;7473.381185;26634.913094;1520.896954;8332.688200;52097.120472;42851.862709;9911.486638;3721.102346;9764.014899;4100.679069;40382.225312;2151.711459;824.047574;2182.175739;82.565318;14148.730418;8467.369890;28051.884652;3186.859411;11227.446181;3843.779591;4647.071532;1790.703423;11315.436589
2015-04-10T21:00:00Z;9816.722893;8713.498581;4715.720472;2114.054702;9491.308545;666.113511;10527.127988;86099.382944;7420.501988;27045.535105;1517.933992;8603.822421;57977.677594;46986.658217;10213.891003;3922.235833;10152.430908;4529.609160;41936.009037;2260.249923;966.472449;2291.138383;85.478524;14462.894334;8659.657146;28974.407804;3408.250228;11614.857633;4061.403336;4837.903529;1869.728833;11685.138536
2015-04-10T22:00:00Z;10077.612403;9754.876884;4739.804341;2165.513969;9918.854397;672.899514;10998.634997;88380.086726;7467.449214;27653.225215;1528.077767;8925.619576;62615.475945;49722.272444;10511.521069;4137.451856;10571.658730;4911.569932;43447.037104;2335.133103;1018.923176;2338.659636;87.770023;14511.472047;8606.334980;29928.966517;3535.041237;11924.325752;4229.781391;4997.082564;1908.446607;11864.569230
2015-04-10T23:00:00Z;10392.133306;10733.487454;4763.607714;2223.588099;10111.521800;678.646465;11410.219420;90483.010361;7531.705571;28462.772091;1546.110009;9298.455302;66860.519627;52549.850133;10785.017713;4327.975598;10973.858628;5352.201074;44621.191746;2404.398710;1053.702566;2384.862621;89.662504;14539.734878;8664.737659;30849.681173;3631.770734;12179.892323;4403.345862;5125.508301;1941.635727;12041.910893
2015-04-11T00:00:00Z;10892.544088;11565.494634;4792.972012;2283.861942;10183.874991;681.471138;11706.204667;92602.054605;7550.730383;29202.469093;1568.275635;9703.236522;69160.806671;54270.330057;11075.408510;4517.709881;11349.650923;5808.935747;45766.771981;2448.073903;1086.407740;2409.725436;91.431101;14647.510688;8755.013921;31735.477561;3699.748251;12408.417208;4584.449869;5214.667679;1968.061071;12154.536548
2015-04-11T01:00:00Z;10997.176780;10731.368880;4854.703381;2263.816596;9979.550234;688.915583;11620.344396;91902.652812;7755.015726;30420.015830;1615.052767;10447.578316;69665.215482;55559.043922;11555.229458;4335.716797;11625.373575;6379.212481;46914.014466;2538.037656;995.203944;2413.192302;93.049970;14890.679287;9062.626169;34068.729898;3795.240267;12767.234589;4487.855254;5259.612581;1900.379966;12576.826600
2015-04-11T02:00:00Z;11622.169006;11231.512533;4913.958120;2336.248676;10390.680073;697.320974;11849.104657;94159.090310;7611.297618;30684.138397;1655.650953;10884.401341;71716.120800;55312.871650;11737.565176;4475.891749;12049.374861;6747.555820;48341.450782;2562.286150;1061.234250;2351.862937;95.515517;15292.874815;9163.564027;34433.938161;3863.425850;12994.129334;4698.619801;5251.233290;1928.872191;12534.306638
2015-04-11T03:00:00Z;12064.360673;11751.725690;4971.908495;2390.835064;10718.387015;714.122968;12139.296740;95735.369106;7454.325731;30456.333276;1697.098110;11315.602957;72329.710844;55269.310609;11925.840300;4583.394303;12421.617724;7083.529634;49367.375392;2575.670834;1105.902355;2348.288455;96.685967;16140.632333;9201.815034;34726.355356;3900.846680;13183.012107;4866.925865;5307.519654;1990.058660;12376.689704
2015-04-11T04:00:00Z;12473.745537;12358.115019;4992.764253;2439.904587;10986.288611;720.096550;12322.622609;97424.997883;7488.640152;30063.557463;1708.456261;11462.917639;72651.966069;55858.074802;12106.838098;4715.126387;12795.993705;7279.289312;50569.306832;2561.015008;1101.087622;2354.504117;96.262629;16984.482670;9169.642544;34977.628990;3905.197749;13130.768480;5014.902730;5413.943408;2056.084419;12295.393634
2015-04-11T05:00:00Z;11510.356987;12932.650610;3929.292930;2279.443240;11289.852515;688.704075;11342.059567;97451.907567;7464.380760;30122.585814;1570.596842;10819.796898;73999.484974;57274.803232;9878.783658;4404.767451;11148.781103;7485.114336;48525.731451;2365.558903;1090.858556;2293.752984;96.087821;17804.261061;9089.309527;31379.306015;3933.575640;10233.989347;4507.154895;4861.276491;2016.901347;11984.444325
2015-04-11T06:00:00Z;8720.670891;12120.645111;2903.046160;1819.532207;10492.134816;630.832566;8377.706714;86003.166005;6900.703711;29606.880671;1423.987816;10138.958607;69337.077941;59271.064266;7281.784215;3399.189130;8231.851517;7542.984212;35013.892440;2088.250212;946.319836;2144.341553;95.714645;16865.674182;8858.359488;24592.493475;3997.563014;7254.732587;3512.052261;3803.153254;1763.720915;11451.677319
2015-04-11T07:00:00Z;6785.242597;9924.899439;2217.050585;1451.730639;8508.276072;539.534677;7180.331818;63004.286119;6217.452546;24468.642312;1294.063202;9309.242924;58152.398377;63215.279325;5259.566788;2350.966190;5833.238787;6774.553045;27128.065424;1746.238234;767.684982;1887.134809;85.727815;12685.666467;8668.204602;20386.901234;3708.740167;5356.895636;2494.283773;3151.888003;1295.296181;11209.273696
2015-04-11T08:00:00Z;5012.028364;10162.779471;1470.607413;1021.836252;7115.953426;432.551581;5133.738769;49970.572420;5276.940029;20182.035294;1153.886888;8653.828190;51579.066902;65922.359860;3403.759906;1557.955407;3626.549851;5970.933558;20248.080612;1369.515582;794.201926;1620.802940;85.279395;10173.127892;8359.460515;13088.450223;2992.127997;3138.939952;1599.663008;2337.538245;1000.349992;10345.104377
2015-04-11T09:00:00Z;3495.351773;10469.411667;920.401541;705.127358;6035.427197;362.809067;3302.168988;41402.554151;4408.588559;16036.168423;1024.566859;8068.348998;45503.518944;66277.302172;2366.229858;941.921134;1842.218621;5351.483591;15961.299942;1014.942561;791.053611;1298.222639;84.083864;9261.670175;8078.399087;6652.514608;2102.290074;1980.527009;849.760057;1704.182016;729.399534;9464.013438
2015-04-11T10:00:00Z;2711.072995;10705.690975;673.382509;543.685697;5569.326612;322.311035;2188.292556;34810.161237;3652.888002;12837.764638;877.599869;7564.804691;39149.010342;62838.491821;1718.306742;641.416845;904.219144;4865.385327;12826.547351;728.776084;763.978022;979.036617;82.415592;11129.724568;7776.846688;3395.799085;1369.726781;1550.719800;553.768860;1287.508740;515.206580;8637.897487
2015-04-11T11:00:00Z;2494.173782;10387.503449;611.853193;473.985869;5521.192243;296.816409;1699.560360;32912.733342;3096.762361;11290.202951;771.936123;7179.439410;35421.565337;58592.072686;1435.594916;587.032526;765.050465;4499.904459;10903.945005;549.699744;747.961021;738.872607;80.697158;12408.341379;7503.540789;2978.951093;1213.639799;1433.912140;534.189381;1067.982807;428.264373;7965.664198
2015-04-11T12:00:00Z;2533.958460;10228.290811;604.295992;456.521125;5990.198348;287.915612;1504.844741;34528.197828;2749.306185;10408.526210;706.894460;6951.879415;34414.415488;55801.046240;1377.686301;562.601089;764.830003;4250.697184;10130.398517;445.110772;742.248501;581.541604;79.078288;13475.592786;7365.340229;2887.099377;1136.853036;1410.693757;524.752233;961.118602;392.747557;7401.161548
2015-04-11T13:00:00Z;2545.380436;10123.808243;597.879017;412.845568;6379.339403;280.354696;1376.713929;33516.293917;2524.798393;9638.969859;540.801627;6395.341041;31140.133565;50364.580454;1343.614108;518.235219;764.830003;4182.002274;10091.979178;275.166891;711.835018;288.625435;84.955621;14590.865172;7309.739018;2760.960131;1149.894450;1386.175749;521.753376;788.626891;370.752818;6330.178205
2015-04-11T14:00:00Z;2623.780851;9849.871516;667.944215;468.667349;6995.708115;320.897248;1487.873255;34946.669658;2701.681058;9525.474504;593.392219;6570.251797;27516.282950;48080.071487;1426.738804;558.686017;764.830003;4163.856435;10516.153384;282.611021;741.334764;291.174818;84.831736;14778.807876;7374.228205;2787.690312;1123.662416;1446.976479;524.618993;857.729599;391.764347;6375.990247
2015-04-11T15:00:00Z;2806.309161;9682.068904;800.207048;539.410586;6906.328282;379.416929;1951.334852;41188.205508;3059.543074;10247.031753;687.414945;6940.663925;28371.359116;47587.965246;1635.125226;632.372224;764.830003;4260.613681;11621.438165;329.723866;749.967030;373.549406;83.237947;16625.579746;7482.972600;2947.562730;1117.079067;1579.431144;532.453982;985.020724;434.545180;6487.703839
2015-04-11T16:00:00Z;3295.068980;9564.633783;1768.113196;682.470628;6872.002744;562.000961;2849.620829;50057.396698;3776.673265;11251.193396;873.449687;7755.550248;31102.366048;49110.484950;2850.619821;887.010221;814.471470;4504.748856;13794.853407;688.827370;732.211436;818.743562;80.871965;18203.266437;7693.617568;3807.219697;1143.354636;3428.158745;607.467517;1355.995029;528.112525;6933.183517
2015-04-11T17:00:00Z;5135.152906;10524.612725;3543.958805;1189.089205;7492.368555;665.974574;4933.520923;62411.295702;4761.936109;12557.522123;1108.629828;8786.134366;36345.642743;52012.356151;7743.722565;1809.628097;4336.208288;4818.923283;19825.631299;1225.347681;743.403631;1348.759022;79.850481;19177.938922;8012.693798;9372.965286;1193.225118;7501.197085;1744.944779;2745.769047;891.089313;7809.256807
2015-04-11T18:00:00Z;7158.782606;13231.660003;3800.091250;1522.302718;10537.840782;678.064253;6402.758704;77205.136118;5775.230339;15528.023027;1268.285795;9368.661936;50209.936040;60112.248499;8613.163304;2661.403620;6322.427160;5212.451639;33172.189345;1391.769324;833.313317;1511.179894;80.298901;21317.592103;8440.586137;13835.932954;1316.081234;8586.462910;2407.238940;3635.720889;1356.178828;8794.253127
2015-04-11T19:00:00Z;7541.571664;18172.882160;3951.492252;1520.820761;12371.547452;684.650653;6538.293397;84711.894690;6713.408499;22300.393100;1351.914962;9318.667650;65107.907906;68981.625743;9178.880551;2617.470702;6749.771612;5650.603600;36227.673577;1447.082845;867.528186;1619.231230;75.417210;25560.549764;8633.601224;14755.249112;2244.408655;8848.798057;2585.799805;3820.804851;1351.696848;8731.136347
